Ward_ID,Total Population,White alone,Site_Count,Normalized_Sites,White_Pct,Group,Neighborhood,Ward_Label,Display_Label,text_pos
1,43066,15760,1.0,0.2322017368689918,36.59499373055311,Remaining Wards,East Boston,Ward 1,Ward 1 (East Boston),top center
2,19120,13626,2.0,1.0460251046025104,71.26569037656904,Remaining Wards,Charlestown,Ward 2,Ward 2 (Charlestown),bottom center
3,44365,29016,10.0,2.254029076975093,65.40290769750929,Remaining Wards,North End/West End,Ward 3,Ward 3 (North End/West End),top right
4,38385,22859,5.0,1.3025921583952065,59.55190829751204,Remaining Wards,Fenway/South End,Ward 4,Ward 4 (Fenway/South End),bottom left
5,39792,26853,6.0,1.507840772014475,67.48341375150784,Remaining Wards,Beacon Hill/Back Bay,Ward 5,Ward 5 (Beacon Hill/Back Bay),top center
6,27642,22326,3.0,1.0853049706967657,80.76839591925331,Remaining Wards,South Boston/Seaport,Ward 6,Ward 6 (South Boston/Seaport),bottom center
7,22052,13877,2.0,0.9069472156720478,62.928532559405035,Remaining Wards,South Boston/Dorchester,Ward 7,Ward 7 (South Boston/Dorchester),top right
8,15442,3670,22.0,14.246859215127573,23.766351508871907,Target Wards,South End/Roxbury,Ward 8,Ward 8 (South End/Roxbury),bottom left
9,19934,6016,12.0,6.019865556335909,30.17959265576402,Target Wards,Roxbury/South End,Ward 9,Ward 9 (Roxbury/South End),top center
10,24298,9026,5.0,2.057782533541855,37.14709029549757,Remaining Wards,Mission Hill/JP,Ward 10,Ward 10 (Mission Hill/JP),bottom center
11,21772,8004,7.0,3.2151387102700717,36.762814624288076,Target Wards,Roxbury/JP,Ward 11,Ward 11 (Roxbury/JP),top right
12,20070,1011,12.0,5.979073243647235,5.037369207772795,Target Wards,Roxbury,Ward 12,Ward 12 (Roxbury),bottom left
13,22104,7183,12.0,5.428881650380022,32.49638074556641,Target Wards,Dorchester,Ward 13,Ward 13 (Dorchester),top center
14,34985,972,16.0,4.573388595112191,2.778333571530656,Target Wards,Dorchester/Mattapan,Ward 14,Ward 14 (Dorchester/Mattapan),bottom center
15,19346,1814,10.0,5.169027189083015,9.376615320996589,Target Wards,Dorchester,Ward 15,Ward 15 (Dorchester),top right
16,25643,11898,7.0,2.729789806184924,46.39862730569746,Target Wards,Dorchester (Neponset),Ward 16,Ward 16 (Dorchester (Neponset)),bottom left
17,26450,4043,8.0,3.024574669187145,15.285444234404535,Target Wards,Dorchester (Codman Sq),Ward 17,Ward 17 (Dorchester (Codman Sq)),top center
18,62148,11688,14.0,2.2526871339383407,18.80671944390809,Remaining Wards,Hyde Park/Mattapan,Ward 18,Ward 18 (Hyde Park/Mattapan),bottom center
19,24731,14429,6.0,2.4261048886013508,58.34377906271481,Target Wards,JP/Roslindale,Ward 19,Ward 19 (JP/Roslindale),top right
20,39283,28151,2.0,0.5091260850749688,71.66204210472723,Remaining Wards,West Roxbury/Roslindale,Ward 20,Ward 20 (West Roxbury/Roslindale),bottom left
21,52283,29842,4.0,0.7650670389992923,57.077826444542204,Remaining Wards,Allston/Brighton,Ward 21,Ward 21 (Allston/Brighton),top center
22,32736,19400,0.0,0.0,59.26197458455523,Remaining Wards,Brighton,Ward 22,Ward 22 (Brighton),bottom center
